index;title;googleDriveId;releaseYear;size;remotePath
1234;I Mean, Geez;1lq5c4TaoOa_jPMdEbSC2GAGL275szQcp;2021;3865093;comics/oots1234.html
1235;Idle Thoughts;1r5N82060IsIVJB-jRIPKv1OucTtglIH7;2021;3724155;comics/oots1235.html
1236;No Strings;1DKSDQ7_chpv2y4FJaKu70zecB2_nYY8G;2021;3951860;comics/oots1236.html
1237;That's Bait;17XYiT8b3MJcO19dF3WnmRQ-KgMovo_sC;2021;3690607;comics/oots1237.html
1238;See It Coming;1IPiwc-SwLo5oMtgrp4O7jJb7JJHDbQal;2021;6454748;comics/oots1238.html
1239;Saur Loser;1TVC6F7D_3_U_KV9zudCOfsyWfLLJrG8R;2021;4078818;comics/oots1239.html
1240;Gritty Realism;11hNmrvIpwDbnHRYDpfUyAjro71tmIeWR;2021;3722223;comics/oots1240.html
1241;Sunnyside Down;1KUMxpyE1E9zjbBrRbKS9cn4JglYrfOSI;2021;6944397;comics/oots1241.html
1242;Area of Affect;1p8pauIbNx_M7aDYeWgi0vTCNB3B9zafO;2021;3965908;comics/oots1242.html
1243;Rogue Up, Rogue Down;1sQGWPvit4xhsz58ObnOOKCWG32IoYXru;2021;3377988;comics/oots1243.html
1244;Maxxed Concentration;1hY_XA9SwS8W-A1g7fQEVOY8NT7QpeXQ1;2021;4105526;comics/oots1244.html
1245;Sales Boom Imminent;1JgU_193pWzb9fCdV-9htg_ATYkDI51Ju;2021;3397444;comics/oots1245.html
1246;Hole in the Wall;1jIWbDlilCArTyDIHopm1jAzIA-i1DYTe;2021;3373704;comics/oots1246.html
1247;Lurking Below;1yE_7rzm4WCPkduJwfOpGtNrKM3DTfzaw;2021;3856321;comics/oots1247.html
1248;More Basic Than Cantrips;12w7as7U7VrfsmURT8q3MGZrNzNKYXpwA;2021;3666909;comics/oots1248.html
1249;Rate a Leaving;1SxsuwzogXdRxRXcDJBZ0NUQKkHr_PEK3;2021;3909568;comics/oots1249.html
1250;Dive In;1KUxx59JgLeORhOv8aw6S2xkTduoow4Dl;2021;5540096;comics/oots1250.html
